AGE (yrs),AGE_2 (yrs),d18O
72500,72625,-58.81
72750,72875,-59.34
73000,73125,-58.91
73250,73375,-57.99
73500,73625,-58.27
73750,73875,-58.2
74000,74125,-57.67
74250,74375,-57.76
74500,74625,-57.8
74750,74875,-57.33
75000,75125,-57.15
75250,75375,-57.76
75500,75625,-57.88
75750,75875,-58.2
76000,76125,-58.09
76250,76375,-58.79
76500,76625,-58.47
76750,76875,-57.95
77000,77125,-58.05
77250,77375,-58.14
77500,77625,-57.96
77750,77875,-57.8
78000,78125,-57.92
78250,78375,-58.24
78500,78625,-57.82
78750,78875,-57.84
79000,79125,-57.62
79250,79375,-57.43
79500,79625,-57.22
79750,79875,-57.23
80000,80125,-56.98
80250,80375,-57.14
80500,80625,-57.02
80750,80875,-56.47
81000,81125,-56.37
81250,81375,-56.46
81500,81625,-56.61
81750,81875,-56.61
82000,82125,-56.85
82250,82375,-56.72
82500,82625,-56.44
82750,82875,-56.21
83000,83125,-56.04
83250,83375,-55.81
83500,83625,-55.93
83750,83875,-55.56
84000,84125,-55.54
84250,84375,-55.9
84500,84625,-55.28
84750,84875,-55.29
85000,85125,-55.8
85250,85375,-55.63
85500,85625,-55.76
85750,85875,-56.1
86000,86125,-56.24
86250,86375,-56.24
86500,86625,-56.66
86750,86875,-56.73
87000,87125,-57.15
87250,87375,-56.74
87500,87625,-56.85
87750,87875,-57.29
88000,88125,-56.95
88250,88375,-57.32
88500,88625,-57.35
88750,88875,-57.68
89000,89125,-57.34
89250,89375,-57.4
89500,89625,-57.76
89750,89875,-58.19
90000,90125,-58.44
90250,90375,-57.79
90500,90625,-58.16
90750,90875,-57.4
91000,91125,-57.42
91250,91375,-57.87
91500,91625,-57.77
91750,91875,-57.39
92000,92125,-57.75
92250,92375,-57.71
92500,92625,-57.27
92750,92875,-57.64
93000,93125,-57.54
93250,93375,-57.47
93500,93625,-57.26
93750,93875,-57.49
94000,94125,-57.68
94250,94375,-57.36
94500,94625,-57.82
94750,94875,-57.43
95000,95125,-57.33
95250,95375,-57.44
95500,95625,-57.52
95750,95875,-57.3
96000,96125,-57.16
96250,96375,-57.33
96500,96625,-57.4
96750,96875,-57.78
97000,97125,-56.91
97250,97375,-56.93
97500,97625,-57.15
97750,97875,-57.18
98000,98125,-57.36
98250,98375,-57.12
98500,98625,-56.95
98750,98875,-57.25
99000,99125,-57.11
99250,99375,-57.09
99500,99625,-56.8
99750,99875,-57.03
100000,100125,-56.63
100250,100375,-56.27
100500,100625,-56.3
100750,100875,-56.43
101000,101125,-56.5
101250,101375,-56.22
101500,101625,-56.35
101750,101875,-56.69
102000,102125,-56.46
102250,102375,-56.2
102500,102625,-56.31
102750,102875,-56.36
103000,103125,-56.29
103250,103375,-56
103500,103625,-55.96
103750,103875,-55.88
104000,104125,-56.16
104250,104375,-56.01
104500,104625,-56.7
104750,104875,-56.56
105000,105125,-56.66
105250,105375,-57.2
105500,105625,-57.9
105750,105875,-57.48
106000,106125,-57.33
106250,106375,-57.22
106500,106625,-56.84
106750,106875,-57.08
107000,107125,-56.63
107250,107375,-56.75
107500,107625,-56.91
107750,107875,-56.71
