Age [ka BP],d18O recon [per mil] (d18O values corrected for sea...)
12.564,-47.85
12.578,-48.14
12.592,-47.86
12.606,-46.26
12.62,-46.84
12.634,-47.75
12.648,-47.49
12.6615,-47.71
12.675,-48.27
12.689,-48.08
12.703,-47.26
12.717,-47.66
12.731,-47.08
12.745,-47.53
12.7605,-47.75
12.777,-49.38
12.7935,-47.81
12.811,-46.99
12.8275,-46.99
12.8425,-47.19
12.857,-47.57
12.8705,-47.79
12.884,-48.01
12.898,-47.89
12.912,-47.94
12.9265,-48.99
12.9415,-48.33
12.956,-48.41
12.9705,-47.43
12.985,-48.54
12.999,-47.75
13.013,-48.28
13.027,-47.75
13.0405,-48.08
13.054,-47.83
13.068,-48.13
13.082,-48.41
13.096,-48.74
13.1105,-47.84
13.125,-46.53
13.139,-47.41
13.1525,-47.99
13.1655,-47.71
13.1785,-47.53
13.1915,-47.57
13.2045,-47.9
13.2175,-47.69
13.2305,-47.09
13.2435,-47.38
13.2565,-47.1
13.269,-47.06
13.2815,-48.01
13.294,-47.99
13.3065,-48.07
13.3195,-47.57
13.3325,-48.38
13.3455,-47.56
13.359,-48.08
13.373,-47.82
13.387,-48.21
13.401,-48.15
13.415,-48.47
13.429,-47.9
13.443,-48.2
13.457,-47.19
13.471,-46.76
13.4845,-46.85
13.4975,-47.77
13.5105,-48.18
13.523,-47.49
13.5355,-48.62
13.549,-48.78
13.5625,-47.99
13.576,-47.81
13.5905,-49.03
13.605,-47.93
13.6195,-48.44
13.6345,-47.93
13.649,-48.43
13.6635,-48.43
13.6785,-47.69
13.693,-48.5
13.707,-48.12
13.7215,-47.08
13.736,-48.35
13.7505,-48.47
13.765,-48.45
13.779,-48.87
13.7925,-49.78
13.806,-49.37
13.82,-48.32
13.8335,-49.03
13.847,-46.82
13.861,-48.72
13.8755,-47.87
13.8905,-48.03
13.905,-47.24
13.919,-47.48
13.9325,-47.79
13.946,-47.43
13.959,-48.64
13.9715,-48.82
13.984,-47.46
13.996,-48.35
14.009,-48.61
14.0225,-48.8
14.0355,-46.96
14.049,-48.38
14.063,-46.87
14.077,-47.9
14.091,-47.27
14.1045,-48.67
14.1175,-48.84
14.1305,-46.97
14.143,-46.78
14.1555,-47.86
14.168,-46.92
14.1805,-48.06
14.1935,-46.46
14.2065,-47.79
14.219,-46.17
14.2315,-47.59
14.243,-47.62
14.2535,-47.9
14.2645,-47.16
14.2755,-48.16
14.2865,-48.48
14.2975,-47.14
14.3085,-48.58
14.32,-47.52
14.3315,-47.69
14.3425,-47.9
14.354,-48.46
14.366,-48.71
14.378,-48.24
14.3905,-47.64
14.4035,-48.22
14.4165,-47.43
14.4285,-47.15
14.44,-46.96
14.4515,-47.14
14.4625,-48.16
14.474,-46.45
14.486,-48.51
14.498,-47.27
14.51,-47.78
14.522,-47.4
14.5335,-47.38
14.545,-47.41
14.557,-48.32
14.569,-48.16
14.581,-47.8
14.5935,-48.21
14.606,-47.88
14.619,-48.4
14.6325,-47.32
14.6455,-46.95
14.659,-47.8
14.6725,-48.49
14.6855,-47.1
14.698,-46.79
14.71,-48.43
14.7215,-49.24
14.732,-48.22
14.743,-47.5
14.755,-47.79
14.767,-48
14.779,-47.89
14.791,-48.39
14.803,-47.66
14.815,-48.31
14.827,-48.81
14.8395,-48.18
14.852,-47.7
14.864,-47.08
14.876,-47.36
14.8885,-47.72
14.9015,-48.15
14.9145,-48.15
14.9275,-48.01
14.94,-47.96
14.9515,-48.74
14.963,-48.77
14.9745,-49.1
14.987,-48.57
15.0005,-48.84
15.0135,-48.03
15.0265,-48.43
15.0395,-47.86
15.0525,-48.63
15.065,-48.87
15.0775,-49.08
15.09,-48.22
15.1025,-47.8
15.1155,-48.8
15.128,-48.3
15.1405,-48.47
15.1535,-48.22
15.1665,-48.53
15.1795,-47.83
15.1925,-48.61
15.2055,-48.64
15.219,-47.4
15.233,-48.34
15.2465,-48.71
15.26,-47.61
15.274,-48.63
15.2875,-48.5
15.301,-49.48
15.3145,-48.97
15.328,-48.81
15.3415,-47.84
15.355,-47.31
15.3685,-48.06
15.382,-48.74
15.3955,-48.55
15.408,-48.51
15.4205,-48.7
15.4335,-48.93
15.446,-48.83
15.4585,-48.17
15.472,-49.23
15.4855,-47.74
15.4985,-48.32
15.5115,-48.43
15.5245,-49.06
15.5375,-48.57
15.551,-48.57
15.5645,-48.63
15.578,-48.52
15.5915,-48.08
15.6045,-48
15.6175,-49
15.63,-47.96
15.6425,-48.32
15.6555,-48.63
15.6685,-49.77
15.6815,-48.43
15.6945,-47.83
15.7075,-48.32
15.7205,-48.49
15.7335,-48.96
15.747,-48
15.7605,-47.61
15.774,-48.62
15.7875,-47.62
15.801,-48.41
15.815,-49.75
15.8285,-49.51
15.842,-50.07
15.8555,-50.26
15.869,-48.9
15.883,-48.88
15.897,-48.74
15.911,-48.99
15.925,-49.2
15.939,-49.76
15.9535,-49.86
15.9685,-49.12
15.9835,-49.28
15.999,-49.54
16.0145,-50.4
16.0295,-49.99
16.0445,-49.58
16.059,-50.41
16.0735,-49.79
16.088,-49.95
16.102,-49.2
16.116,-49.3
16.13,-49.43
16.144,-50.04
16.158,-50.2
16.1725,-49.12
16.1875,-50.86
16.2025,-49.3
16.2175,-50.38
16.233,-50.31
16.2485,-48.76
16.2635,-47.74
16.2785,-49.15
16.2935,-49.62
16.308,-49.82
16.323,-50.44
16.3385,-51.4
16.354,-49.05
16.3695,-50.01
16.3845,-51.3
16.4,-50.45
16.4155,-50.38
16.431,-49.44
16.4475,-50.21
16.464,-50.42
16.48,-51.04
16.4965,-49.94
16.513,-50.55
16.529,-49.14
16.5445,-50.12
16.56,-51.18
16.5755,-49.67
16.5905,-50.29
16.606,-51.18
16.6215,-50.54
16.637,-49.51
16.653,-51.05
16.669,-51.71
16.6855,-50.99
16.702,-50.15
16.718,-50.99
16.7345,-51.14
16.751,-51.27
16.768,-50.64
16.7855,-50.94
16.803,-50.67
16.8215,-51.01
16.8405,-51.15
16.8595,-50.43
16.878,-50.08
16.896,-50.56
16.9135,-50.21
16.9305,-51.16
16.948,-50.65
16.9655,-50.21
16.9825,-50.97
16.9995,-49.89
17.0165,-51.71
17.0335,-50.36
17.051,-50.99
17.0685,-51.4
17.0855,-50.84
17.1025,-51.07
17.12,-50.64
17.1385,-50.67
17.157,-51.33
17.175,-51.07
17.193,-50.86
17.211,-50.69
17.229,-51.38
17.247,-50.2
17.265,-50.35
17.2835,-50.72
17.302,-51.11
17.3205,-51.74
17.3395,-51.58
17.3585,-52.24
17.3785,-51.95
17.399,-52.5
17.419,-50.89
17.4395,-52.28
17.46,-51.72
17.48,-52.08
17.5005,-51.6
17.5215,-51.43
17.5415,-51.65
17.5605,-51.95
17.5795,-51.48
17.5985,-52.94
17.618,-51.8
17.638,-51.33
17.658,-52.08
17.6785,-51.57
17.699,-51.41
17.719,-51.13
17.739,-52.25
17.759,-52.18
17.7795,-51.47
17.8,-51.88
17.821,-51.86
17.8425,-52.24
17.864,-52.57
17.8855,-52.28
17.9065,-51.82
17.9275,-52.03
17.948,-52.01
17.9685,-52.1
17.9895,-51.6
18.01,-52.19
18.0305,-51.59
18.051,-50.72
18.072,-51.19
18.0935,-51.5
18.1145,-50.54
18.136,-50.8
18.1575,-51.74
18.179,-51.24
18.201,-52.16
18.2225,-51.04
18.244,-51.16
18.266,-51.38
18.2885,-51.19
18.311,-51.47
18.334,-52.3
18.3575,-51.59
18.3795,-52.27
18.4005,-52.18
18.422,-53.27
18.444,-51.83
18.4655,-52.23
18.487,-51.59
18.5095,-52.84
18.5325,-52.47
18.5555,-52.78
18.578,-52.06
18.6005,-52.12
18.6235,-51.7
18.6465,-52.28
18.6695,-52.37
18.692,-52
18.7145,-50.64
18.7375,-52.41
18.7605,-53.04
18.7835,-51.8
18.8065,-52.3
18.8295,-53.04
18.853,-51.64
18.8765,-52.09
18.899,-51.19
18.9215,-50.27
18.944,-52.06
18.9675,-52.1
18.992,-52.27
19.016,-51.42
19.0395,-51.81
19.0625,-51.82
19.085,-51.46
19.1075,-51.97
19.1305,-51.12
19.153,-52.14
19.1755,-51.74
19.197,-51.7
19.217,-50.97
19.2385,-51.85
19.2615,-52.85
19.284,-50.55
19.3065,-51.36
19.3295,-50.68
19.3525,-52.5
19.3755,-52.19
19.3985,-51.67
19.4215,-51.35
19.4445,-51.9
19.4675,-52.1
19.491,-52.1
19.515,-53.6
19.539,-51.43
19.5625,-51.56
19.5855,-51.78
19.6095,-50.92
19.634,-51.27
19.658,-52.21
19.682,-51.49
19.705,-51.37
19.7275,-53.32
19.75,-52.74
19.772,-51.86
19.794,-52.03
19.816,-51.91
19.8395,-51.49
19.864,-52.26
19.889,-50.78
19.915,-52.2
19.94,-51.41
19.964,-52.71
19.987,-51.5
20.0085,-52.93
20.0325,-52.02
20.059,-51.89
20.085,-51.49
20.1115,-52.21
20.1365,-51.54
20.1595,-51.77
20.182,-52.23
20.204,-51.52
20.226,-51.5
20.2475,-52.58
20.2695,-51.4
20.2925,-52
20.3155,-51.77
20.338,-51.5
20.3605,-51.27
20.384,-50.39
20.4075,-52.07
20.431,-51.75
20.454,-52.41
20.4765,-52.08
20.499,-52.18
20.521,-51.48
20.544,-53.77
20.568,-53.01
20.5925,-51.69
20.6175,-52.17
20.644,-52.11
20.672,-51.51
20.7,-51.24
20.7285,-52.73
20.757,-52
20.785,-52.63
20.8125,-52.67
20.8395,-52.85
20.866,-52.67
20.892,-52.49
20.918,-52.78
20.9435,-51.72
20.969,-52.01
20.9955,-51.71
21.0215,-50.9
21.0465,-52.44
21.0715,-51.76
21.0965,-52.67
21.121,-52.27
21.145,-51.07
21.1695,-52.71
21.194,-50.93
21.219,-51.07
21.245,-52.16
21.271,-51.99
21.2965,-51.83
21.321,-52.52
21.345,-51.94
21.3685,-52.44
21.391,-52.82
21.414,-52.51
21.4375,-53.11
21.461,-52.13
21.4855,-52.05
21.51,-52.28
21.534,-51.95
21.558,-51.58
21.5815,-51.68
21.605,-52.95
21.629,-52.78
21.653,-52.98
21.677,-51.56
21.7005,-53.2
21.723,-51.98
21.745,-53.18
21.7665,-50.98
21.7875,-52.41
21.8085,-52.93
21.8295,-52.12
21.85,-52.43
21.871,-52.08
21.893,-52.61
21.9145,-52.69
21.936,-52.27
21.958,-52.79
21.98,-52.25
22.0025,-51.83
22.025,-52.66
22.0475,-51.82
22.0705,-52.21
22.0935,-52.24
22.117,-51.95
22.141,-51.64
22.165,-52.12
22.188,-52.46
22.2105,-52.98
22.234,-51.7
22.2575,-52.76
22.282,-52.27
22.3075,-52.38
22.332,-52.71
22.3555,-53.08
22.3785,-52.42
22.401,-52.27
22.424,-53.16
22.4475,-52.46
22.471,-51.65
22.4945,-51.19
22.5175,-52.34
22.54,-52.4
22.563,-52.5
22.5865,-51.69
22.61,-52.71
22.634,-52.84
22.6575,-52.54
22.681,-52.34
22.705,-52.47
22.729,-52.09
22.7525,-51.36
22.776,-51.81
22.8,-52.46
22.8235,-52.34
22.847,-52.2
22.8705,-51.25
22.894,-52.72
22.9175,-52.98
22.9405,-51.87
22.9635,-52.52
22.986,-52.14
23.008,-51.88
23.03,-50.96
23.0515,-52.84
23.0725,-52.21
23.0935,-51.29
23.114,-51.84
23.1345,-50.91
23.1555,-51.93
23.1765,-51.82
23.1975,-50.98
23.2185,-51.83
23.2395,-50.91
23.2605,-51.22
23.2815,-51.67
23.3025,-50.97
23.3235,-52.03
23.3445,-51.14
23.365,-52.2
23.385,-51.62
23.4045,-51.21
23.424,-51.6
23.4435,-51.86
23.463,-51.82
23.483,-50.65
23.5025,-51.59
23.5215,-50.53
23.5405,-52.3
23.56,-50.83
23.58,-50.94
23.6,-52.68
23.6195,-51.17
23.639,-51.58
23.659,-51.04
23.679,-51.73
23.699,-52.01
23.7195,-51.51
23.7405,-51.95
23.762,-50.93
23.7845,-51.68
23.8075,-51.48
23.831,-53.15
23.8545,-52.03
23.877,-51.91
23.899,-52.8
23.921,-51.86
23.943,-51.99
23.9645,-52.68
23.9855,-52.7
24.0065,-51.95
24.0285,-51.5
24.051,-52.57
24.073,-53.02
24.0945,-53.17
24.115,-52.77
24.1355,-52.37
24.156,-52.13
24.176,-52.69
24.196,-53.09
24.216,-52.35
24.236,-52.82
24.256,-53.33
24.277,-52.35
24.2985,-52.43
24.3195,-52.66
24.341,-51.66
24.3625,-52.6
24.384,-52.5
24.406,-52.37
24.428,-52.73
24.4495,-52.81
24.4705,-53.08
24.4905,-53.03
24.5095,-52.64
24.529,-52.47
24.5495,-51.8
24.571,-52.92
24.593,-52.14
24.615,-51.51
24.6375,-52.72
24.66,-53.72
24.682,-52.9
24.7035,-52.33
24.725,-53.29
24.7465,-52.14
24.7675,-53.26
24.7885,-52.97
24.809,-52.96
24.829,-51.7
24.849,-51.56
24.869,-52.6
24.8895,-52.89
24.91,-52.49
24.9295,-53.21
24.949,-52.67
24.9685,-53.44
24.9885,-52.15
25.009,-52.68
25.029,-52.24
25.049,-52.03
25.069,-51.14
25.089,-52.48
25.109,-52.03
25.1285,-52.39
25.1475,-53.32
25.1665,-52.23
25.1855,-52.34
25.2045,-51.8
25.224,-52.83
25.244,-52.09
25.264,-51.77
25.284,-52.33
25.3045,-52.83
25.3255,-52.36
25.346,-52.7
25.366,-54.05
25.386,-52.43
25.406,-52.08
25.426,-51.79
25.446,-52.41
25.466,-52.17
25.486,-52.95
25.5065,-51.97
25.527,-53.12
25.547,-52.6
25.567,-52.61
25.5875,-51.97
25.608,-52.91
25.6285,-52.67
25.649,-52.1
25.6695,-52
25.6905,-53.06
25.7115,-52.21
25.733,-52.75
25.7545,-53.01
25.776,-52.52
25.798,-52.14
25.82,-52.88
25.842,-52.7
25.8645,-51.68
25.8865,-52.61
25.908,-52.49
25.929,-53.8
25.949,-52.51
25.9695,-51.7
25.99,-51.58
26.0105,-52.13
26.0315,-52.04
26.0515,-52.29
26.071,-52.68
26.0905,-52.71
26.11,-53.17
26.13,-51.61
26.15,-51.4
26.17,-52.27
26.19,-51.59
26.21,-51.43
26.2295,-51.24
26.2495,-51.63
26.27,-51.79
26.2905,-52.36
26.3115,-52.97
26.332,-52.17
26.352,-51.97
26.3715,-52.72
26.3905,-52.02
26.41,-50.85
26.43,-52.67
26.4505,-52.18
26.4715,-53.03
26.4925,-52
26.5135,-52.77
26.535,-51.69
26.557,-52.67
26.5795,-52.11
26.6025,-52.11
26.626,-52.35
26.65,-54.51
26.674,-51.56
26.698,-51.77
26.7215,-52.59
26.7445,-52.11
26.7675,-53.7
26.7905,-53.24
26.8135,-51.97
26.8365,-51.33
26.86,-52.66
26.884,-52.2
26.908,-53.66
26.932,-52.7
26.956,-51.49
26.98,-51.45
27.004,-52.36
27.028,-52.19
27.052,-52.78
27.076,-52.36
27.1,-51.98
27.124,-51.9
27.148,-52.25
27.1715,-51.64
27.194,-51.69
27.216,-51.76
27.238,-52.33
27.2595,-52.2
27.2805,-51
27.3015,-52.85
27.322,-50.77
27.342,-50.51
27.362,-51.12
27.382,-51.62
27.4025,-50.66
27.4235,-51.19
27.444,-51.28
27.4645,-50.99
27.486,-51.27
27.508,-51.08
27.5325,-51.08
27.559,-51.22
27.584,-50.84
27.608,-51.11
27.6305,-50.06
27.6515,-50.06
27.672,-50.79
27.6925,-51.34
27.7135,-49.96
27.7345,-51.74
27.7565,-50.53
27.7795,-50.74
27.8025,-51.42
27.826,-50.77
27.85,-50.95
27.8735,-50.71
27.897,-51.07
27.9205,-51.3
27.9445,-49.81
27.9695,-50.36
27.995,-51.57
28.0215,-50.9
28.0485,-51.28
28.0755,-51.27
28.102,-51.48
28.128,-50.39
28.155,-51.82
28.1825,-51.99
28.2105,-51.98
28.239,-50.96
28.2665,-51.25
28.294,-50.5
28.3215,-51.16
28.349,-51.86
28.376,-51
28.4025,-51.04
28.429,-49.99
28.455,-49.93
28.4815,-50.27
28.509,-50.45
28.5365,-50.25
28.5635,-50.43
28.5905,-49.9
28.618,-49.73
28.646,-49.24
28.674,-49.08
28.702,-50.95
28.7305,-49.53
28.7585,-50.62
28.786,-50.26
28.814,-51.04
28.842,-50.1
28.8695,-49.25
28.8965,-50.85
28.9235,-49.57
28.95,-50.52
28.9765,-49.58
29.0035,-49.68
29.03,-49.34
29.0565,-48.67
29.083,-49.43
29.109,-49.54
29.135,-49.15
29.161,-50.45
29.187,-50.06
29.2125,-49.51
29.238,-50.51
29.264,-49.17
29.29,-49.15
29.3155,-50.07
29.3415,-50.25
29.368,-50.68
29.395,-49.02
29.423,-49.56
29.4505,-49.89
29.478,-50.32
29.505,-48.41
29.5315,-50.25
29.558,-50.43
29.5845,-49.32
29.611,-49.01
29.6375,-49.28
29.664,-50.02
29.69,-49.16
29.7165,-49.57
29.7435,-49.97
29.7715,-50.08
29.8005,-50.19
29.8305,-50.58
29.8615,-51.59
29.8925,-50.63
29.924,-50.81
29.956,-50.51
29.9875,-51.16
30.019,-51.02
30.0505,-51.19
30.083,-51.01
30.117,-51.07
30.1515,-50.72
30.1865,-51.27
30.22,-50.18
30.252,-51.61
30.284,-51.1
30.316,-50.83
30.347,-51.03
30.3775,-50.04
30.408,-49.08
30.438,-50.63
30.468,-50.26
30.4985,-49.87
30.529,-50.71
30.5595,-51.01
30.59,-50.68
30.6195,-49.77
30.6485,-51.11
30.6775,-50.41
30.7065,-50.77
30.7355,-50.81
30.764,-50.02
30.7925,-51.31
30.821,-50.83
30.8485,-50.68
30.876,-51.24
30.904,-50.65
30.9325,-50.32
30.9615,-51.49
30.991,-51.46
31.0205,-51.41
31.052,-51.22
31.0855,-50.66
31.119,-52.08
31.1525,-50.39
31.185,-50.37
31.2165,-51.34
31.248,-51.95
31.2795,-52.19
31.3105,-50.34
31.3415,-51.5
31.372,-51.22
31.402,-50.47
31.432,-50.75
31.462,-51.27
31.4925,-50.84
31.5235,-51.23
31.555,-51.32
31.5865,-51.98
31.6185,-50.76
31.651,-50.88
31.6825,-51.28
31.713,-50.6
31.7425,-51.77
31.771,-50.96
31.799,-51.03
31.827,-50.42
31.8545,-50.75
31.8815,-49.39
31.9075,-50.32
31.9325,-50.64
31.9575,-49.8
31.983,-52.07
32.0095,-51.56
32.0365,-49.99
32.0645,-50.58
32.0935,-48.73
32.121,-49.97
32.1475,-50.19
32.174,-50.06
32.1995,-50.66
32.2255,-48.72
32.252,-50.27
32.2785,-50.61
32.305,-49.82
32.3305,-50.59
32.356,-49.89
32.382,-50.24
32.408,-50.14
32.4345,-49.89
32.461,-49.27
32.487,-50.72
32.513,-49.66
32.54,-50.38
32.5675,-50.82
32.596,-50.58
32.6255,-50.58
32.655,-51.24
32.6845,-50.58
32.714,-51.3
32.744,-50.74
32.774,-50.5
32.8045,-50.29
32.835,-50.36
32.8645,-51.07
32.8935,-51.03
32.9225,-51.03
32.9515,-51.67
32.981,-49.93
33.01,-50.88
33.038,-50.26
33.0655,-50.18
33.0925,-50.5
33.1195,-50.32
33.1465,-49.82
33.1735,-50.18
33.2,-50.49
33.2265,-50.15
33.2535,-50.1
33.28,-50.05
33.306,-51.17
33.3325,-49.78
33.359,-50.81
33.386,-49.89
33.4135,-49.91
33.441,-51.06
33.4685,-50.64
33.4955,-50.56
33.523,-49.41
33.55,-50.35
33.5765,-49.83
33.6035,-50.77
33.63,-49.57
33.657,-49.61
33.685,-50.25
33.7125,-49.9
33.7395,-50.45
33.767,-50.16
33.795,-50.83
33.8235,-51.29
33.853,-52.1
33.883,-50.78
33.913,-51.2
33.943,-50.48
33.973,-50.56
34.003,-50.71
34.033,-51.03
34.063,-50.86
34.0935,-51.53
34.123,-50.83
34.1515,-49.92
34.181,-49.79
34.211,-51
34.2415,-50.27
34.2725,-51.32
34.3045,-50.5
34.3375,-51.75
34.3695,-51.35
34.4005,-51.05
34.4305,-50.88
34.4595,-50.77
34.4885,-51.14
34.518,-50.78
34.547,-50.44
34.5745,-50.48
34.6025,-49.02
34.6315,-51.06
34.66,-49.89
34.688,-50.6
34.716,-50.69
34.7445,-50.91
34.7725,-49.49
34.8,-50.37
34.828,-48.4
34.8555,-50.73
34.883,-49.71
34.9115,-50.26
34.94,-49.69
34.968,-49.74
34.9955,-50.83
35.023,-50.31
35.05,-50.35
35.076,-50.15
35.1035,-50.33
35.132,-49.56
35.16,-50.06
35.188,-49.62
35.215,-49.39
35.241,-50.14
35.267,-48.69
35.2935,-49.78
35.321,-48.92
35.349,-49.32
35.3775,-49.97
35.4065,-49.87
35.4345,-49.68
35.462,-49.63
35.4885,-49.56
35.5135,-49.53
35.5395,-49.44
35.5665,-49.14
35.594,-49.76
35.622,-49.58
35.6495,-49.72
35.676,-50.14
35.7025,-50.29
35.729,-50.01
35.756,-50.95
35.784,-49.61
35.8115,-49.88
35.838,-49.93
35.8655,-50.25
35.8945,-50.76
35.922,-50.22
35.948,-50.23
35.974,-50.73
36,-49.88
36.026,-50.03
36.052,-49.53
36.0785,-50.17
36.1055,-50.8
36.1335,-51.31
36.1625,-50.08
36.1915,-49.27
36.2205,-50.32
36.25,-51.59
36.28,-50.85
36.309,-50.82
36.3375,-49.89
36.366,-50.08
36.394,-50.9
36.4225,-51.31
36.451,-51.7
36.4795,-50.61
36.508,-50.96
36.5365,-51.04
36.565,-51.28
36.593,-50.77
36.6215,-51.14
36.65,-50.51
36.6785,-51.01
36.707,-51.42
36.7355,-50.23
36.7645,-50.17
36.7935,-50.32
36.823,-51.14
36.8525,-50.07
36.8815,-50.75
36.91,-50.57
36.938,-49.5
36.966,-50.33
36.994,-50.23
37.0215,-50.35
37.0485,-50.36
37.075,-51.18
37.1015,-50.81
37.1285,-49.72
37.155,-50.26
37.181,-50.17
37.2065,-50.03
37.2315,-49.91
37.2565,-49.52
37.282,-50.03
37.308,-50.08
37.3345,-49.75
37.362,-50.01
37.3905,-50.43
37.4205,-50.11
37.4515,-50.66
37.481,-50.56
37.5095,-49.22
37.5365,-49.45
37.562,-50
37.5865,-49.6
37.6095,-49.49
37.6335,-50.2
37.6585,-48.83
37.6835,-49.48
37.7085,-48.68
37.7335,-49.3
37.7585,-48.82
37.7815,-48.52
37.8025,-48.32
37.8245,-48.55
37.8475,-50.57
37.8715,-49.43
37.8965,-49.81
37.922,-49.47
37.9485,-48.68
37.9745,-48.74
38,-48.7
38.0255,-49
38.05,-49.31
38.0735,-49.36
38.096,-49.42
38.1185,-48.18
38.1415,-49.92
38.165,-48.73
38.189,-49.73
38.213,-49.54
38.2375,-48.79
38.261,-48.76
38.2835,-48.16
38.306,-48.43
38.328,-48.65
38.3505,-49.7
38.373,-49.51
38.395,-48
38.417,-48.47
38.4395,-48.82
38.462,-48.79
38.4845,-48.76
38.507,-48.98
38.529,-49.23
38.551,-49.3
38.573,-48.47
38.5945,-48.56
38.6165,-49.41
38.639,-48.9
38.661,-48.97
38.6835,-48.48
38.7065,-49.41
38.73,-48.43
38.754,-48.58
38.778,-48.77
38.801,-48.88
38.823,-48.45
38.845,-48.61
38.867,-50.07
38.889,-47.87
38.9115,-48.61
38.934,-48.26
38.9565,-48.14
38.9795,-48.14
39.0025,-48.55
39.0255,-48.58
39.0485,-49.28
39.071,-48.13
39.0925,-49.17
39.1155,-49.73
39.14,-49.73
39.164,-49.41
39.1885,-49.46
39.214,-48.6
39.24,-49.34
39.267,-48.89
39.295,-50.41
39.3225,-50.16
39.35,-48.79
39.3775,-49.89
39.4045,-49.77
39.4315,-50.47
39.4585,-51.36
39.486,-49.16
39.514,-50.04
39.5425,-50
39.5715,-49.76
39.601,-50.4
39.6315,-51.08
39.6615,-51.09
39.6905,-50.75
39.72,-50.61
39.7495,-50.73
39.7785,-50.69
39.8075,-51.5
39.8365,-50.07
39.8655,-50.56
39.8945,-49.75
39.923,-51.08
39.951,-51.05
39.9795,-49.63
40.008,-50.89
40.036,-50.44
40.065,-50.22
40.095,-50.48
40.1245,-50.29
40.1535,-50.37
40.1825,-49.52
40.212,-50.48
40.242,-49.88
40.2725,-50.56
40.303,-49.92
40.3325,-50.56
40.3615,-50.03
40.3905,-50.23
40.419,-50.04
40.447,-50.33
40.4755,-50.52
40.5045,-50.8
40.5345,-49.79
40.5655,-50.3
40.596,-50.21
40.626,-50.64
40.656,-50.19
40.686,-49.78
40.7155,-51.08
40.7445,-51
40.773,-50.15
40.801,-51.46
40.8295,-50.08
40.8585,-51.01
40.888,-50.66
40.9175,-51.4
40.9465,-50.84
40.9755,-50.87
41.0045,-50.23
41.0335,-51.26
41.0635,-49.97
41.094,-50.33
41.1245,-49.61
41.1555,-49.43
41.1845,-50.15
41.212,-49.16
41.239,-50.79
41.2655,-50.24
41.292,-50.04
41.3185,-50.48
41.346,-49.95
41.3735,-50.19
41.401,-49.34
41.4295,-48.84
41.457,-49.76
41.4835,-50.16
41.5105,-50.55
41.5375,-49.97
41.565,-49.87
41.593,-49.17
41.621,-49.67
41.6495,-48.69
41.678,-49.81
41.706,-49.52
41.734,-49.44
41.762,-50.21
41.7915,-50.47
41.822,-50.67
41.852,-49.78
41.882,-49.88
41.9125,-50.44
41.9435,-50.17
41.9745,-49.8
42.005,-50.35
42.035,-50.42
42.0645,-49.88
42.093,-50
42.1215,-51.3
42.15,-50.71
42.178,-51.03
42.206,-50.25
42.2345,-50.46
42.264,-51.4
42.294,-49.37
42.324,-49.95
42.3545,-50.11
42.3855,-50.44
42.4165,-50.45
42.447,-50.61
42.4765,-50.71
42.505,-50.22
42.533,-49.95
42.561,-50.05
42.589,-49.29
42.6165,-50.4
42.644,-50.3
42.6725,-49.52
42.7015,-50.09
42.73,-50.42
42.7585,-50.23
42.788,-50.14
42.818,-49.79
42.8475,-49.86
42.8765,-50.94
42.9055,-50.24
42.9345,-49.94
42.964,-49.22
42.9935,-49.76
43.023,-49.65
43.053,-50.16
43.0825,-49.58
43.112,-48.76
43.142,-49.85
43.172,-48.9
43.202,-49.35
43.232,-49.57
43.263,-48.98
43.2945,-49.46
43.325,-49.87
43.3555,-50.1
43.385,-49.3
43.413,-49.33
43.4415,-49.65
43.4705,-49.75
43.5005,-48.93
43.531,-49.77
43.5615,-49.54
43.5925,-49.5
43.623,-49.42
43.6525,-49.73
43.6842,-48.36
43.715,-49.34
43.7458,-48.74
43.7766,-48.8
43.8074,-49.26
43.8382,-48.83
43.869,-48.86
43.8998,-49.31
43.9306,-48.46
43.9615,-48.94
43.9923,-48.93
44.0231,-49.08
44.0539,-49.9
44.0847,-49.67
44.1155,-49.95
44.1463,-50
44.1771,-49.45
44.2079,-49.62
44.2387,-50.42
44.2695,-50.34
44.3003,-50.47
44.3311,-50.47
44.3619,-50.67
44.3927,-48.98
44.4235,-49.02
44.4543,-49.1
44.4851,-49.24
44.5159,-50.47
44.5467,-49.98
44.5775,-49.44
44.6084,-48.11
44.6392,-49.42
44.67,-49.55
44.7008,-48.6
44.7316,-48.65
44.7624,-49.21
44.7932,-50.18
44.824,-50.41
44.8548,-49.92
44.8854,-49.19
44.9145,-49.44
44.9415,-49.99
44.9705,-50.75
45.0015,-49.63
45.034,-49.41
45.0675,-48.76
45.1015,-50.03
45.136,-49.42
45.1705,-48.88
45.2055,-48.68
45.2405,-48.77
45.2755,-48.83
45.3095,-48.87
45.3425,-49.97
45.374,-48.65
45.404,-48.9
45.432,-47.87
45.458,-49.84
45.483,-48.6
45.5075,-49.64
45.5335,-49.39
45.561,-48.8
45.59,-48.57
45.6195,-48.97
45.65,-48.84
45.6815,-49.59
45.7125,-49.5
45.744,-48.38
45.775,-48.66
45.805,-49.09
45.836,-47.53
45.8675,-48.14
45.8955,-47.96
45.9205,-48.23
45.9455,-48.56
45.9705,-49.47
45.9975,-47.39
46.0265,-47.41
46.0565,-47.38
46.0875,-48.33
46.1175,-48.96
46.147,-48.38
46.178,-48.29
46.21,-48.25
46.242,-47.89
46.2745,-47.39
