Age [ka BP],d18O recon [per mil] (d18O values corrected for sea...)
2.175,-42.06
2.1825,-43.53
2.19,-45.6
2.198,-45.3
2.2055,-45.51
2.2125,-45.38
2.22,-45.49
2.2275,-43.99
2.2345,-44.06
2.242,-43.98
2.2495,-43.8
2.2565,-44.49
2.264,-42.81
2.272,-43.78
2.28,-45.21
2.288,-45.87
2.2955,-44.43
2.303,-45.52
2.3115,-44.95
2.321,-44.85
2.3305,-43.84
2.34,-44.36
2.3495,-43.65
2.3585,-45.12
2.367,-44.8
2.3755,-43.69
2.384,-43.81
2.3925,-44.82
2.401,-44.27
2.4095,-44.66
2.418,-43.8
2.4265,-44.57
2.435,-43.82
2.4435,-44.58
2.452,-45.3
2.4605,-45.59
2.469,-44.41
2.477,-44.39
2.485,-45.83
2.493,-44.61
2.501,-44.34
2.509,-44.22
2.517,-44.74
2.525,-45.25
2.5325,-44.25
2.54,-44.13
2.5475,-44.78
2.555,-46.38
2.563,-45.12
2.571,-43.6
2.579,-45.37
2.5865,-45.62
2.594,-45.08
2.602,-45.26
2.61,-43.28
2.6175,-44.81
2.6245,-43.72
2.632,-44.72
2.6395,-44.8
2.6465,-43.22
2.654,-43.87
2.662,-44.46
2.67,-45.17
2.678,-45.32
2.6855,-44.33
2.693,-44.22
2.701,-43.84
2.709,-44.22
2.7165,-43.28
2.724,-44.57
2.7315,-44.37
2.739,-43.74
2.7465,-44.34
2.7535,-43.7
2.7605,-45.54
2.768,-44.65
2.7755,-43.72
2.7825,-44.56
2.7895,-44.7
2.7965,-43.24
2.8035,-42.66
2.8105,-43.8
2.8175,-44.13
2.8245,-44.33
2.8315,-44.95
2.8385,-43.34
2.8455,-44.08
2.8525,-42.89
2.8595,-43.99
2.867,-44.56
2.8745,-43.98
2.882,-43.83
2.89,-43.02
2.8975,-42.24
2.905,-44.43
2.9125,-45
2.92,-44.19
2.9275,-44.64
2.935,-44.22
2.9425,-44.16
2.95,-44.05
2.9575,-43.53
2.965,-43.93
2.973,-43.81
2.981,-44.24
2.989,-43.69
2.997,-44.77
3.005,-44.18
3.013,-44.39
3.0205,-43.76
3.028,-44.94
3.036,-43.56
3.0435,-45.28
3.051,-45.03
3.0585,-45.58
3.066,-44.82
3.0735,-44.46
3.081,-44.65
3.0885,-43.21
3.0955,-44.58
3.103,-44.46
3.1105,-45.32
3.118,-45.2
3.1255,-43.66
3.133,-43.83
3.1405,-44.76
3.148,-45.15
3.1555,-45.35
3.163,-44.84
3.171,-44.01
3.1795,-43.29
3.1885,-42.31
3.197,-44.55
3.2055,-43.7
3.214,-44.5
3.222,-44.7
3.23,-44.12
3.2385,-44.3
3.247,-44.08
3.255,-44.25
3.2635,-45.37
3.272,-43.9
3.28,-45.29
3.288,-44.01
3.296,-44.25
3.304,-44.53
3.312,-44.36
3.32,-44.01
3.328,-43.59
3.336,-43.48
3.344,-43.85
3.3525,-43.45
3.361,-44.28
3.369,-44.41
3.377,-43.92
3.385,-44.02
3.3935,-43.3
3.402,-43.61
3.41,-44.15
3.418,-42.92
3.426,-43.07
3.434,-43.27
3.442,-44
3.4505,-44.23
3.459,-44.97
3.467,-44.8
3.4745,-45.21
3.482,-44.97
3.49,-44.46
3.498,-46.71
3.5065,-43.5
3.515,-44.62
3.523,-43
3.531,-44.3
3.539,-43.27
3.5465,-45
3.5545,-44.35
3.563,-44.37
3.571,-44.19
3.579,-44.75
3.5875,-44.83
3.596,-44.33
3.604,-44.72
3.612,-44.57
3.6195,-43.46
3.6265,-43.88
3.6335,-43.84
3.641,-43.65
3.6485,-43.62
3.6555,-44.17
3.6625,-44.41
3.67,-45.08
3.678,-44.47
3.686,-44.58
3.6935,-41.74
3.701,-43.97
3.709,-44.04
3.717,-43.34
3.725,-44.67
3.733,-44.3
3.7405,-43.23
3.748,-43.09
3.756,-43.83
3.764,-45.1
3.7725,-43.93
3.781,-44.19
3.789,-42.94
3.7975,-43.41
3.806,-44.32
3.814,-44.98
3.822,-43.56
3.83,-43.95
3.8375,-44.96
3.845,-44.86
3.8525,-44.51
3.86,-43.25
3.868,-44.03
3.876,-43.22
3.8845,-44.28
3.8935,-43.92
3.9025,-42.51
3.911,-42.84
3.9195,-43.2
3.9285,-44.08
3.9375,-44.14
3.9465,-43.56
3.955,-44.28
3.9635,-43.7
3.972,-43.72
3.9805,-45.03
3.989,-44.77
3.9975,-44.51
4.006,-44.22
4.014,-44.84
4.022,-44.45
4.03,-43.43
4.038,-43.73
4.046,-44.46
4.054,-44.08
4.062,-44.1
4.07,-44.7
4.078,-44.11
4.086,-44.03
4.094,-42.82
4.102,-43.76
4.11,-44.1
4.118,-43.7
4.126,-43
4.134,-43.58
4.142,-44.29
4.15,-44.02
4.158,-44.22
4.166,-44.51
4.1745,-43.3
4.1825,-45.35
4.19,-44.32
4.198,-43.54
4.206,-44.5
4.214,-43.16
4.222,-43.61
4.23,-42.98
4.238,-44.84
4.2455,-43.67
4.253,-43.44
4.261,-43.49
4.269,-43.62
4.2765,-42.92
4.284,-44.22
4.292,-45.18
4.2995,-43.32
4.307,-44.33
4.315,-45.28
4.323,-43.26
4.3315,-43.72
4.34,-43.82
4.3485,-43.12
4.357,-43.95
4.365,-43.91
4.373,-45.91
4.381,-43.82
4.389,-42.78
4.3975,-44.53
4.406,-44.73
4.414,-44.87
4.422,-45.07
4.43,-44.1
4.438,-44.41
4.4465,-43.91
4.455,-44.56
4.463,-43.81
4.471,-43.86
4.479,-43.92
4.487,-44.27
4.495,-43.45
4.503,-44.31
4.5105,-43.94
4.5185,-44.9
4.527,-44.96
4.5355,-44.37
4.5445,-42.44
4.5535,-43.67
4.562,-43.82
4.5705,-42.98
4.5795,-43.1
4.588,-44.57
