Age [ka BP],d18O H2O [per mil SMOW]
131.542,-50.29
131.592,-50.22
131.641,-50.36
131.692,-50.36
131.742,-50.83
131.795,-50.62
131.848,-50.83
131.901,-50.91
131.955,-50.58
132.008,-51.7
132.066,-51.54
132.123,-50.68
132.177,-50.82
132.23,-50.4
132.282,-51.27
132.337,-51.22
132.393,-51.13
132.45,-51.93
132.507,-51.18
132.564,-51.91
132.624,-52.03
132.687,-51.51
132.747,-52.12
132.809,-51.99
132.871,-52.3
132.935,-52.15
133,-52.66
133.067,-52.61
133.134,-51.95
133.195,-51.85
133.258,-52.87
133.327,-52.93
133.397,-52.23
133.461,-51.67
133.524,-52.19
133.588,-52.84
133.658,-53.05
133.73,-53.34
133.803,-52.15
133.87,-53.17
133.941,-53.13
134.014,-53.23
134.087,-53.77
134.164,-52.88
134.236,-53.54
134.313,-53.51
134.39,-53.41
134.466,-53.94
134.545,-53.85
134.624,-53.66
134.703,-54.1
134.785,-54.01
134.866,-53.97
134.949,-54.36
135.036,-55.58
135.124,-54.48
135.213,-55
135.307,-55.06
135.402,-55
135.497,-55.13
135.593,-54.49
135.691,-54.43
135.779,-55.27
135.876,-54.96
135.968,-53.98
136.055,-54.84
136.147,-55.65
136.248,-55.06
136.345,-55.45
136.447,-55.8
136.552,-55.61
136.656,-55.36
136.752,-55.59
136.853,-55.07
136.953,-55.52
137.056,-55.66
137.159,-54.76
137.254,-54.55
137.347,-55.16
137.448,-55.39
137.547,-55.12
137.647,-55.27
137.743,-55.35
137.847,-55
137.948,-54.75
138.046,-55.29
138.148,-54.88
138.247,-55.4
138.351,-55.38
138.454,-54.9
138.554,-55.59
138.66,-55.79
138.763,-55.65
138.87,-56.04
138.983,-55.99
139.093,-55.7
139.202,-56.13
139.31,-55.37
139.417,-55.36
139.522,-55.34
139.627,-55.51
139.735,-55.99
139.846,-55.37
139.951,-55.76
140.06,-55.04
140.163,-55.67
140.273,-55.56
140.384,-55.18
140.489,-55.22
140.591,-55.71
140.701,-55.49
140.809,-55.64
140.919,-55.67
141.03,-55.73
141.142,-55.55
141.251,-55.61
141.359,-55.13
141.464,-55.37
141.573,-56.22
141.686,-54.76
141.787,-54.85
141.888,-55.38
141.993,-54.78
142.093,-55.48
142.198,-55.76
142.307,-55.84
142.42,-55.42
142.528,-55.53
142.636,-55.09
142.739,-55.08
142.843,-54.6
142.941,-55.32
143.045,-55.52
143.156,-55.85
143.266,-55.99
143.377,-55.22
143.48,-54.69
143.578,-55.43
143.684,-55.9
143.796,-55.34
143.903,-55.89
144.015,-55.65
144.125,-55.17
144.229,-54.92
144.328,-55.35
144.433,-55.32
144.539,-55.47
144.645,-55.02
144.748,-55.51
144.854,-55.34
144.959,-55.07
145.063,-55.86
