AGE (yrs),dD,est. d18O
8520,-438.3,-55.8343949045
8569,-438.4,-55.847133758
8619,-438.6,-55.872611465
8668,-437.5,-55.7324840764
8716,-432,-55.0318471338
8763,-433.2,-55.1847133758
8811,-438.8,-55.898089172
8861,-437,-55.6687898089
8910,-437,-55.6687898089
8960,-439,-55.923566879
9009,-436.5,-55.6050955414
9058,-436,-55.5414012739
9107,-437.1,-55.6815286624
9156,-436.5,-55.6050955414
9204,-434.1,-55.2993630573
9252,-431.7,-54.9936305732
9298,-433,-55.1592356688
9346,-435.5,-55.4777070064
9396,-438,-55.7961783439
9445,-437.2,-55.6942675159
9494,-433.9,-55.2738853503
9542,-433.8,-55.2611464968
9589,-430.2,-54.8025477707
9635,-429.6,-54.7261146497
9682,-435.4,-55.4649681529
9732,-437.4,-55.7197452229
9782,-437.6,-55.7452229299
9831,-436.9,-55.6560509554
9881,-434.5,-55.3503184713
9929,-434.5,-55.3503184713
9978,-436.1,-55.5541401274
10027,-433.8,-55.2611464968
10075,-434.9,-55.4012738854
10124,-435.5,-55.4777070064
10172,-430,-54.7770700637
10218,-428.7,-54.6114649682
10265,-432.8,-55.1337579618
10315,-439.5,-55.9872611465
10366,-437.4,-55.7197452229
10415,-434.1,-55.2993630573
10465,-436,-55.5414012739
10515,-436,-55.5414012739
10564,-436,-55.5414012739
10614,-436.6,-55.6178343949
10665,-436.9,-55.6560509554
10715,-435.2,-55.4394904459
10764,-432.5,-55.0955414013
10812,-433.5,-55.2229299363
10861,-434.5,-55.3503184713
10910,-431.6,-54.9808917197
10957,-431.3,-54.9426751592
11005,-431.9,-55.0191082803
11053,-430.3,-54.8152866242
11100,-429.8,-54.7515923567
11146,-425.8,-54.2420382166
11191,-425.3,-54.178343949
11237,-431.2,-54.9299363057
11286,-433,-55.1592356688
11334,-431.7,-54.9936305732
11383,-434.5,-55.3503184713
11434,-437.4,-55.7197452229
11485,-437.8,-55.7707006369
11537,-439.5,-55.9872611465
11590,-439.6,-56
11642,-439.7,-56.0127388535
11695,-441,-56.178343949
11749,-443.2,-56.4585987261
11805,-444.2,-56.5859872611
11861,-447.1,-56.9554140127
11918,-445.3,-56.7261146497
11973,-443.1,-56.4458598726
12029,-447,-56.9426751592
12087,-448.5,-57.1337579618
12144,-446.5,-56.8789808917
12202,-447.3,-56.9808917197
12261,-453.2,-57.7324840764
12323,-455,-57.9617834395
12385,-453.6,-57.7834394904
12446,-451.5,-57.5159235669
12507,-452.4,-57.6305732484
12569,-455.3,-58
12632,-455.3,-58
12694,-453.27,-57.7414012739
12755,-451.23,-57.4815286624
12815,-449.2,-57.2229299363
12874,-450.2,-57.3503184713
12934,-450.8,-57.4267515924
12994,-451.8,-57.5541401274
13055,-452.9,-57.6942675159
13116,-452.3,-57.6178343949
13177,-452.1,-57.5923566879
13237,-450.5,-57.3885350318
13296,-448.8,-57.1719745223
13355,-448.8,-57.1719745223
13414,-451.8,-57.5541401274
13476,-455.5,-58.025477707
13539,-453.9,-57.821656051
13600,-451.2,-57.4777070064
13659,-449.4,-57.2484076433
13718,-447.2,-56.9681528662
13774,-442.9,-56.4203821656
13828,-442,-56.3057324841
13883,-443.2,-56.4585987261
13938,-442.1,-56.3184713376
13992,-443.65,-56.5159235669
14048,-445.2,-56.7133757962
14105,-446.75,-56.9108280255
14163,-448.3,-57.1082802548
14221,-449.85,-57.3057324841
14281,-451.4,-57.5031847134
14342,-452.95,-57.7006369427
14404,-454.5,-57.898089172
14466,-451.7,-57.5414012739
14526,-452.8,-57.6815286624
14589,-456,-58.0891719745
14651,-453.8,-57.8089171975
14713,-453.5,-57.7707006369
14775,-454.8,-57.9363057325
14839,-457.1,-58.2292993631
14904,-458.1,-58.3566878981
14968,-456.7,-58.178343949
15032,-458,-58.3439490446
15099,-462,-58.8535031847
15167,-462.5,-58.9171974522
15234,-460.1,-58.6114649682
15300,-459,-58.4713375796
15366,-458.6,-58.4203821656
15432,-461.1,-58.7388535032
15501,-464.5,-59.1719745223
15570,-463.8,-59.0828025478
15639,-462.9,-58.9681528662
15708,-463.7,-59.0700636943
15777,-462,-58.8535031847
15845,-462.4,-58.9044585987
15915,-467.5,-59.5541401274
15987,-466.3,-59.4012738854
16057,-464.9,-59.2229299363
16128,-466.9,-59.4777070064
16201,-468.5,-59.6815286624
16275,-470.9,-59.9872611465
16350,-471.8,-60.101910828
16426,-471.8,-60.101910828
16502,-471,-60
16577,-471.2,-60.025477707
16653,-472.4,-60.178343949
16729,-473.6,-60.3312101911
16808,-475.6,-60.5859872611
16889,-480.7,-61.2356687898
16974,-481.8,-61.3757961783
17058,-479,-61.0191082803
17139,-476.4,-60.6878980892
17219,-476,-60.6369426752
17298,-475.5,-60.5732484076
17379,-479.4,-61.0700636943
17462,-480.5,-61.2101910828
17544,-477,-60.7643312102
17625,-477.6,-60.8407643312
17706,-478,-60.8917197452
17787,-477.9,-60.8789808917
17868,-477.3,-60.8025477707
17949,-477.5,-60.8280254777
18031,-480.15,-61.1656050955
18116,-482.8,-61.5031847134
18201,-480,-61.1464968153
18283,-478.4,-60.9426751592
18365,-477.5,-60.8280254777
18446,-478.9,-61.0063694268
18530,-482.1,-61.4140127389
18615,-481.7,-61.3630573248
18701,-483.5,-61.5923566879
18787,-481.9,-61.3885350318
18870,-476.6,-60.7133757962
18950,-476.9,-60.7515923567
19032,-479.8,-61.1210191083
19116,-480.7,-61.2356687898
19199,-479.35,-61.0636942675
19282,-478,-60.8917197452
19362,-476.4,-60.6878980892
19443,-477.4,-60.8152866242
19525,-480.1,-61.1592356688
19610,-481.9,-61.3885350318
19696,-483.5,-61.5923566879
19782,-482.4,-61.4522292994
19868,-482.9,-61.5159235669
19953,-479.2,-61.0445859873
20035,-477,-60.7643312102
20116,-478.3,-60.9299363057
20197,-476.4,-60.6878980892
20278,-478.2,-60.9171974522
20361,-480,-61.1464968153
20444,-479.8,-61.1210191083
20528,-479.5,-61.0828025478
20611,-479.6,-61.0955414013
20694,-479.1,-61.0318471338
20777,-478.6,-60.9681528662
20859,-479,-61.0191082803
20943,-480.1,-61.1592356688
21026,-480,-61.1464968153
21110,-479,-61.0191082803
21192,-478.9,-61.0063694268
21275,-478.9,-61.0063694268
21358,-479.45,-61.076433121
21442,-480,-61.1464968153
21525,-477.8,-60.8662420382
21605,-475.6,-60.5859872611
21686,-477.4,-60.8152866242
21769,-480.9,-61.2611464968
21854,-481.5,-61.3375796178
21939,-480.2,-61.1719745223
22023,-480.4,-61.1974522293
22108,-482,-61.4012738854
22196,-484.5,-61.7197452229
22284,-484.5,-61.7197452229
22371,-482.3,-61.4394904459
22457,-481.4,-61.3248407643
22543,-481.85,-61.3821656051
22629,-482.3,-61.4394904459
22716,-482.75,-61.4968152866
22803,-483.2,-61.5541401274
22888,-479.5,-61.0828025478
22972,-479.2,-61.0445859873
23057,-482.7,-61.4904458599
23145,-484.5,-61.7197452229
23234,-485.1,-61.7961783439
23324,-485.8,-61.8853503185
23412,-483,-61.5286624204
23497,-478.3,-60.9299363057
23581,-480.95,-61.2675159236
23668,-483.6,-61.6050955414
23755,-483.6,-61.6050955414
23843,-483.6,-61.6050955414
23931,-482.5,-61.4649681529
24017,-481.4,-61.3248407643
24102,-480,-61.1464968153
24186,-479.1,-61.0318471338
24272,-484,-61.6560509554
24363,-488.3,-62.2038216561
24453,-482.7,-61.4904458599
24537,-477.1,-60.7770700637
24619,-477,-60.7643312102
24700,-477,-60.7643312102
24781,-475.5,-60.5732484076
24860,-474,-60.3821656051
24941,-477.45,-60.821656051
25024,-480.9,-61.2611464968
25109,-480,-61.1464968153
25193,-479.1,-61.0318471338
25277,-478.2,-60.9171974522
25360,-479.5,-61.0828025478
25445,-481.8,-61.3757961783
25531,-481,-61.2738853503
25615,-478.4,-60.9426751592
25697,-474.5,-60.4458598726
25776,-474.1,-60.3949044586
25855,-475.8,-60.6114649682
25936,-476,-60.6369426752
26017,-477.1,-60.7770700637
26099,-477.2,-60.7898089172
26180,-475.3,-60.5477707006
26261,-475.8,-60.6114649682
26342,-477.7,-60.8535031847
26425,-479.3,-61.0573248408
26510,-480.7,-61.2356687898
26595,-481,-61.2738853503
26681,-481,-61.2738853503
26766,-478.9,-61.0063694268
26849,-477.8,-60.8662420382
26933,-479.9,-61.1337579618
27019,-484.4,-61.7070063694
27110,-486.7,-62
27202,-486.7,-62
27293,-485.5,-61.847133758
27382,-484.3,-61.6942675159
27470,-481.4,-61.3248407643
27555,-479.6,-61.0955414013
27641,-482.3,-61.4394904459
27730,-484.6,-61.7324840764
27819,-483.8,-61.6305732484
27907,-482.3,-61.4394904459
27993,-481.2,-61.2993630573
28079,-480.1,-61.1592356688
28163,-478.85,-61
28247,-477.6,-60.8407643312
28331,-481.7,-61.3630573248
28420,-485.7,-61.872611465
28510,-483.58,-61.6025477707
28597,-481.47,-61.3337579618
28683,-479.35,-61.0636942675
28766,-477.23,-60.7936305732
28848,-475.12,-60.5248407643
28927,-473,-60.2547770701
29006,-473,-60.2547770701
29085,-474.62,-60.4611464968
29166,-476.24,-60.6675159236
29249,-477.86,-60.8738853503
29332,-479.48,-61.0802547771
29418,-481.1,-61.2866242038
29505,-482.9,-61.5159235669
29594,-483,-61.5286624204
29682,-482.8,-61.5031847134
29771,-484.3,-61.6942675159
29861,-483.4,-61.5796178344
29949,-482.6,-61.4777070064
30036,-480.5,-61.2101910828
30120,-475.6,-60.5859872611
30201,-474.9,-60.4968152866
30283,-478.5,-60.9554140127
30368,-479.8,-61.1210191083
30453,-479.3,-61.0573248408
30538,-478.63,-60.9719745223
30622,-477.95,-60.8853503185
30705,-477.27,-60.7987261146
30788,-476.6,-60.7133757962
30871,-478.6,-60.9681528662
30957,-480.5,-61.2101910828
31043,-480.8,-61.2484076433
31130,-481.1,-61.2866242038
31216,-479.9,-61.1337579618
31302,-478.7,-60.9808917197
31387,-479.4,-61.0700636943
31473,-481,-61.2738853503
31560,-482,-61.4012738854
31648,-480.4,-61.1974522293
31733,-477.2,-60.7898089172
31815,-475.6,-60.5859872611
31896,-473.4,-60.3057324841
31976,-473.2,-60.2802547771
32056,-473.5,-60.3184713376
32137,-475.3,-60.5477707006
32219,-476.4,-60.6878980892
32300,-472.4,-60.178343949
32380,-475.2,-60.5350318471
32463,-477.7,-60.8535031847
32546,-474.7,-60.4713375796
32626,-472.5,-60.1910828025
32705,-473,-60.2547770701
32787,-477.6,-60.8407643312
32871,-477.6,-60.8407643312
32955,-476.5,-60.7006369427
33039,-478.3,-60.9299363057
33124,-478.4,-60.9426751592
33209,-478.4,-60.9426751592
33293,-476.8,-60.7388535032
33376,-475.2,-60.5350318471
33459,-477.4,-60.8152866242
33544,-478,-60.8917197452
33628,-476.6,-60.7133757962
33711,-475.5,-60.5732484076
33793,-475.8,-60.6114649682
33877,-476.9,-60.7515923567
33960,-475.8,-60.6114649682
34041,-471.9,-60.1146496815
34121,-474,-60.3821656051
34202,-473.3,-60.2929936306
34281,-470.2,-59.898089172
34360,-472.3,-60.1656050955
34438,-469.2,-59.7707006369
34515,-468.8,-59.7197452229
34592,-469.6,-59.821656051
34669,-467.9,-59.6050955414
34744,-466.9,-59.4777070064
34818,-463.5,-59.0445859873
34889,-461.6,-58.8025477707
34960,-463,-58.9808917197
35033,-465.8,-59.3375796178
35108,-468.6,-59.6942675159
35185,-468.1,-59.6305732484
35261,-467.6,-59.5668789809
35336,-465,-59.2356687898
35409,-464.1,-59.1210191083
35482,-464.9,-59.2229299363
35556,-466,-59.3630573248
35631,-466.6,-59.4394904459
35705,-465.1,-59.2484076433
35780,-466.4,-59.4140127389
35855,-467,-59.4904458599
35930,-467.3,-59.5286624204
36007,-470,-59.872611465
36086,-471.1,-60.0127388535
36166,-472.9,-60.2420382166
36248,-474.9,-60.4968152866
36331,-476,-60.6369426752
36416,-478.9,-61.0063694268
36502,-476.5,-60.7006369427
36585,-472.7,-60.2165605096
36666,-474.5,-60.4458598726
36748,-472.6,-60.2038216561
36827,-468.8,-59.7197452229
36905,-470.6,-59.949044586
36985,-472.4,-60.178343949
37066,-473.25,-60.2866242038
37148,-474.1,-60.3949044586
37230,-474.1,-60.3949044586
37313,-474.5,-60.4458598726
37396,-475.9,-60.6242038217
37479,-473.5,-60.3184713376
37558,-468.5,-59.6815286624
37637,-471,-60
37718,-474,-60.3821656051
37799,-472.3,-60.1656050955
37880,-471.4,-60.050955414
37959,-470.5,-59.9363057325
38039,-471.3,-60.0382165605
38120,-472.7,-60.2165605096
38201,-473.5,-60.3184713376
38284,-474.5,-60.4458598726
38367,-475.3,-60.5477707006
38451,-475.8,-60.6114649682
38535,-475.8,-60.6114649682
38619,-474.4,-60.4331210191
38702,-473.1,-60.2675159236
38783,-472.85,-60.2356687898
38865,-472.6,-60.2038216561
38946,-472.35,-60.1719745223
39027,-472.1,-60.1401273885
39107,-470,-59.872611465
39185,-468.3,-59.6560509554
39263,-468.3,-59.6560509554
39341,-469.7,-59.8343949045
39420,-470.2,-59.898089172
39499,-470.2,-59.898089172
39579,-469.5,-59.8089171975
39657,-469.5,-59.8089171975
39735,-468.2,-59.6433121019
39812,-465.6,-59.3121019108
39889,-470.2,-59.898089172
39971,-474.5,-60.4458598726
40054,-474.2,-60.4076433121
40138,-476,-60.6369426752
40223,-475.2,-60.5350318471
40305,-470.6,-59.949044586
40386,-471.8,-60.101910828
40468,-474.2,-60.4076433121
40551,-473,-60.2547770701
40632,-472.1,-60.1401273885
40714,-472.8,-60.2292993631
40796,-471.5,-60.0636942675
40875,-467.2,-59.5159235669
40952,-467.2,-59.5159235669
41031,-471,-60
41112,-472.3,-60.1656050955
41191,-468.1,-59.6305732484
41268,-463.9,-59.0955414013
41342,-463.4,-59.0318471338
41415,-462.9,-58.9681528662
41489,-463.3,-59.0191082803
41564,-465.7,-59.3248407643
41638,-461.6,-58.8025477707
41710,-460,-58.5987261146
41782,-463.3,-59.0191082803
41855,-461.7,-58.8152866242
41927,-460.9,-58.7133757962
42001,-464.5,-59.1719745223
42077,-467,-59.4904458599
42152,-462.8,-58.9554140127
42225,-460.8,-58.7006369427
42298,-464.7,-59.1974522293
42374,-467.1,-59.5031847134
42451,-465.3,-59.2738853503
42527,-465.9,-59.3503184713
42603,-465.5,-59.2993630573
42679,-467.1,-59.5031847134
42758,-469.8,-59.847133758
42837,-468.7,-59.7070063694
42916,-468.3,-59.6560509554
42994,-468.6,-59.6942675159
43073,-467.8,-59.5923566879
43150,-466.2,-59.3885350318
43226,-466,-59.3630573248
43304,-469.3,-59.7834394904
